16 Apr 2026 16:20:40,659  INFO AllocatedBytesLogger - PID 1: 0 B, Thread START, TID - (1), Comp. system, User system, Roles system, missed-hit: All: 81089-223518, J: 192-15; DC: 24-4; E: 2056-2403; JE: 13-1; IC: 153-155; RS: 72-27; AH: 0-0; Q: 829-5559; TT: 118-138; TL: 23817-49294; UC: 1604-25174; HP: 0-0; PL: 1557-1667; PN: 366-422; IL: 41211-118477; QL: 383-745; NL: 8694-19437
16 Apr 2026 16:20:40,661  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 81089-223518, J: 192-15; DC: 24-4; E: 2056-2403; JE: 13-1; IC: 153-155; RS: 72-27; AH: 0-0; Q: 829-5559; TT: 118-138; TL: 23817-49294; UC: 1604-25174; HP: 0-0; PL: 1557-1667; PN: 366-422; IL: 41211-118477; QL: 383-745; NL: 8694-19437
16 Apr 2026 16:20:40,662  INFO AllocatedBytesLogger - Total: sum: 0 B, elapsed 30ms, missed-hit: All: 101053-608550, J: 242-29; DC: 55-43; E: 2667-4571; JE: 33-9; IC: 179-179; RS: 78-31; AH: 0-0; Q: 1084-7616; TT: 162-158; TL: 27075-55923; UC: 1963-36615; HP: 3-5; PL: 1609-1721; PN: 399-461; IL: 53098-473943; QL: 507-989; NL: 11899-26257
16 Apr 2026 16:24:15,575  INFO AllocatedBytesLogger - PID 1: 0 B, Thread START, TID - (1), Comp. system, User system, Roles system, missed-hit: All: 17373-62357, J: 9-6; DC: 4-0; E: 387-681; JE: 0-0; IC: 34-18; RS: 10-2; AH: 0-0; Q: 156-163; TT: 2-3; TL: 2755-14794; UC: 506-7165; HP: 0-0; PL: 41-48; PN: 2-2; IL: 12690-37925; QL: 64-125; NL: 713-1425
16 Apr 2026 16:24:15,585  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 17373-62357, J: 9-6; DC: 4-0; E: 387-681; JE: 0-0; IC: 34-18; RS: 10-2; AH: 0-0; Q: 156-163; TT: 2-3; TL: 2755-14794; UC: 506-7165; HP: 0-0; PL: 41-48; PN: 2-2; IL: 12690-37925; QL: 64-125; NL: 713-1425
16 Apr 2026 16:24:15,586  INFO AllocatedBytesLogger - Total: sum: 0 B, elapsed 23ms, missed-hit: All: 32404-120771, J: 127-22; DC: 27-69; E: 1009-1437; JE: 49-10; IC: 41-62; RS: 13-5; AH: 0-0; Q: 356-485; TT: 112-10; TL: 4534-19853; UC: 855-16683; HP: 0-0; PL: 162-187; PN: 12-13; IL: 22921-77146; QL: 158-290; NL: 2028-4499
16 Apr 2026 16:28:35,542  INFO AllocatedBytesLogger - PID 1: 0 B, Thread START, TID - (1), Comp. system, User system, Roles system, missed-hit: All: 17367-62375, J: 9-6; DC: 4-0; E: 387-681; JE: 0-0; IC: 34-18; RS: 10-2; AH: 0-0; Q: 156-165; TT: 2-3; TL: 2755-14797; UC: 506-7165; HP: 0-0; PL: 41-48; PN: 2-2; IL: 12683-37935; QL: 64-125; NL: 714-1428
16 Apr 2026 16:28:35,544  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 17367-62375, J: 9-6; DC: 4-0; E: 387-681; JE: 0-0; IC: 34-18; RS: 10-2; AH: 0-0; Q: 156-165; TT: 2-3; TL: 2755-14797; UC: 506-7165; HP: 0-0; PL: 41-48; PN: 2-2; IL: 12683-37935; QL: 64-125; NL: 714-1428
16 Apr 2026 16:28:35,546  INFO AllocatedBytesLogger - Total: sum: 0 B, elapsed 18ms, missed-hit: All: 31603-120718, J: 134-22; DC: 28-69; E: 1055-1459; JE: 51-10; IC: 45-66; RS: 13-6; AH: 0-0; Q: 378-484; TT: 117-17; TL: 4632-18753; UC: 868-17714; HP: 0-0; PL: 110-119; PN: 8-22; IL: 22009-77307; QL: 145-271; NL: 2010-4399
16 Apr 2026 16:30:06,061  INFO AllocatedBytesLogger - PID 92: 0 B, Thread RMI:logics, TID - (92), Comp. system, User system, Roles system, missed-hit: All: 29733-105308, J: 114-106; DC: 49-76; E: 1476-1832; JE: 152-109; IC: 60-62; RS: 15-6; AH: 0-0; Q: 323-543; TT: 13-27; TL: 3217-12930; UC: 901-15626; HP: 0-0; PL: 396-419; PN: 71-146; IL: 20402-65275; QL: 255-379; NL: 2289-7772
16 Apr 2026 16:30:06,062  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 29733-105308, J: 114-106; DC: 49-76; E: 1476-1832; JE: 152-109; IC: 60-62; RS: 15-6; AH: 0-0; Q: 323-543; TT: 13-27; TL: 3217-12930; UC: 901-15626; HP: 0-0; PL: 396-419; PN: 71-146; IL: 20402-65275; QL: 255-379; NL: 2289-7772
