16 Apr 2026 16:29:26,056 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@62c30e17
16 Apr 2026 16:29:32,084 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - Executed remote method (time: 4628 ms.): exec(Service.getInitSettings[], lsfusion.interop.session.ExternalRequest@79e2a7ee)
16 Apr 2026 16:30:11,277 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@11139292
16 Apr 2026 16:31:13,774 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - REMOTE OBJECT UNREFERENCED RN[clientAddress: 172.19.0.1,290 - Authentication.CustomUser 'Обычный пользователь',1656950295,SQL@187082912]
16 Apr 2026 16:31:13,774 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - CALLBACK UNREFERENCED : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@11139292
16 Apr 2026 16:31:13,774 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - REMOTE OBJECT UNREFERENCED RN[clientAddress: 172.19.0.1,290 - Authentication.CustomUser 'Обычный пользователь',286495378,SQL@384249432]
16 Apr 2026 16:36:58,190 system - system - system  INFO RemoteLogger - Executed remote method (time: 3510 ms.): exec(lsfusion.interop.connection.AuthenticationToken@df7a1933, lsfusion.interop.connection.ConnectionInfo@e0ca3a56, Service.getServerSettings[], lsfusion.interop.session.ExternalRequest@1471c2f9)
16 Apr 2026 16:37:14,001 system - system - system  INFO RemoteLogger - Executed remote method (time: 5048 ms.): authenticateUser(lsfusion.interop.connection.authentication.PasswordAuthentication@8dfbc4b)
16 Apr 2026 16:37:20,695 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@76fc36d
16 Apr 2026 16:37:31,535 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - Executed remote method (time: 9370 ms.): exec(Service.getInitSettings[], lsfusion.interop.session.ExternalRequest@4bf8fef3)
16 Apr 2026 16:39:07,802 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - FORM OPEN : FORM[1385380231 - Discipline.view,RN[clientAddress: 172.19.0.1,290 - Authentication.CustomUser 'Обычный пользователь',124765037,SQL@101819715]]
16 Apr 2026 16:39:10,188 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - Executed remote method (time: 3017 ms.): executeNavigatorAction(1, 0, Discipline.view, 1)
16 Apr 2026 16:39:42,601 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - FORM OPEN : FORM[253815771 - Student.view,RN[clientAddress: 172.19.0.1,290 - Authentication.CustomUser 'Обычный пользователь',124765037,SQL@101819715]]
16 Apr 2026 16:40:07,367 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - FORM OPEN : FORM[2127006972 - Question.view,RN[clientAddress: 172.19.0.1,290 - Authentication.CustomUser 'Обычный пользователь',124765037,SQL@101819715]]
16 Apr 2026 16:40:10,521 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - FORM OPEN : FORM[684725184 - TestingSession.view,RN[clientAddress: 172.19.0.1,290 - Authentication.CustomUser 'Обычный пользователь',124765037,SQL@101819715]]
16 Apr 2026 16:40:15,906 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - FORM OPEN : FORM[231758710 - PerformanceReport.view,RN[clientAddress: 172.19.0.1,290 - Authentication.CustomUser 'Обычный пользователь',124765037,SQL@101819715]]
16 Apr 2026 16:40:59,987 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - executeEventAction started: [ID: 1427, SID: _ADDFORMNEWSESSION_Discipline_view_d_Discipline_Discipline()]
16 Apr 2026 16:41:00,451 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - FORM OPEN : FORM[1051771971 - Discipline.view,RN[clientAddress: 172.19.0.1,290 - Authentication.CustomUser 'Обычный пользователь',124765037,SQL@101819715]]
16 Apr 2026 16:41:04,719 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,0), value : 
16 Apr 2026 16:41:04,826 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,0)
16 Apr 2026 16:41:07,022 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,1), value : 1
16 Apr 2026 16:41:07,106 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,1)
16 Apr 2026 16:41:07,157 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,2), value : 11
16 Apr 2026 16:41:07,202 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,2)
